"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","AQS_PARAMETER"
NA,49,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,1,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,27,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,40,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,17,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,21,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,16,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,29,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,10,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,27,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,32,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,8,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,23,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,42,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,16,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,40,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,18,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,15,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,47,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,29,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,55,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,15,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,13,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,46,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,28,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,47,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,22,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,31,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,25,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,46,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,45,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,23,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,31,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,30,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,36,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,25,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,31,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,30,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,33,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,21,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,47,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,17,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,30,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,7,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,9,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,22,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
NA,13,"Board Of Ed. Bldg.","PM2.5 - Local Conditions","Buncombe",35.6062000008935,-82.5844,"PM2.5"
